Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.24,-.06,-.12,-.26,-.28,-.42,-.27,-.25,-.16
1906,-.27,-.29,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.42,-.51,-.27,-.36,-.46,-.41,-.34,-.34,-.34,-.22,-.46,-.46,-.38,-.36,-.36,-.36,-.36,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.44,-.51,-.48,-.42,-.42,-.41,-.45,-.39,-.43
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.33,-.38,-.39,-.31,-.56,-.48,-.48,-.55,-.56,-.43,-.36
1910,-.41,-.41,-.50,-.42,-.34,-.39,-.34,-.36,-.39,-.40,-.55,-.67,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.62,-.58,-.61,-.53,-.52,-.50,-.41,-.44,-.41,-.27,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.26,-.15,-.38,-.18,-.20,-.24,-.42,-.54,-.59,-.57,-.39,-.43,-.36,-.35,-.21,-.26,-.40,-.52
1913,-.40,-.46,-.43,-.40,-.43,-.45,-.36,-.33,-.35,-.32,-.20,-.03,-.35,-.38,-.43,-.42,-.38,-.29
1914,.04,-.10,-.24,-.30,-.21,-.26,-.24,-.16,-.17,-.03,-.15,-.04,-.16,-.15,-.03,-.25,-.22,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.12,-.22,-.21,-.24,-.12,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.54,-.43,-.25,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.48,-.34,-.25,-.44,-.42,-.36,-.31,-.31,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.12,-.27,-.36,-.29,-.32,-.25,-.20,-.40,-.41,-.27,-.26,-.25,-.20,-.33,-.28
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.26,-.30,-.21,-.30,-.24
1921,-.04,-.17,-.22,-.29,-.29,-.26,-.13,-.25,-.18,-.03,-.13,-.17,-.18,-.21,-.22,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.32,-.27,-.33,-.36,-.32,-.15,-.19,-.28,-.28,-.32,-.24,-.31,-.27
1923,-.27,-.39,-.34,-.41,-.34,-.30,-.31,-.33,-.31,-.13,-.02,-.04,-.27,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.36,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.38,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.27,-.26,-.11
1926,.21,.03,.11,-.12,-.23,-.25,-.27,-.13,-.14,-.11,-.06,-.29,-.10,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.21,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.14,-.27,-.27,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.44,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.27,-.11,-.24,-.23,-.22,-.20,-.15,-.15,-.11,.18,-.05,-.15,-.19,-.37,-.19,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.20,-.09,-.03,-.03,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.17,-.17,-.05,-.17,-.29,-.25,-.22,-.10,-.08,-.27,-.25,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.23,-.29,-.34,-.21,-.24,-.29,-.25,-.30,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.20,-.02,-.28,-.30,-.09,-.14,-.09,-.11,-.15,-.06,.04,-.02,-.12,-.15,-.22,-.22,-.11,-.06
1935,-.33,.15,-.13,-.36,-.28,-.26,-.21,-.21,-.21,-.06,-.26,-.17,-.19,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.38,-.21,-.20,-.16,-.22,-.09,-.13,-.09,-.02,.02,.00,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.04,-.20,-.15,-.04,-.04,-.03,.02,.09,.09,.09,-.07,-.02,-.02,-.01,-.13,-.02,.09
1938,.08,.04,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.01,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.06,-.05,-.06,-.07,-.03,.07,.44,-.01,-.06,-.08,-.10,-.06,-.01
1940,.00,.09,.10,.18,.11,.11,.13,.07,.15,.12,.17,.32,.13,.14,.18,.13,.10,.15
1941,.18,.31,.10,.17,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.15,.16,.20
1942,.30,.02,.06,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.25,.27,.20,.19,.16,.18,.18,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.20,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.11,.10,.15
1946,.15,.03,.01,.06,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.22,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.14,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.11,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.03,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.02,.06,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.12,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.11,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,.00,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.25,.26,.33,.27,.20,.18,.02,.04,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.29,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.14,.04,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.27,.34,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.07,-.04,.16,.17,.20,.21,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.14,.12,.10,.05,.14,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.25,.24,.13,.09
1987,.32,.43,.18,.24,.25,.34,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.36,.38,.12,.28,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.34,.29,.20,.37,.27,.27,.23,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.44,.46,.41,.45,.44,.41,.60,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.28,.28,.23,.25,.11,.12,.23,.03,.18,.23,.23,.31,.31,.19,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.32,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.46,.46,.27,.43,.45,.45,.34,.47,.44,.25,.44,.46,.56,.40,.44,.42
1996,.24,.46,.32,.33,.28,.25,.36,.48,.24,.19,.38,.37,.33,.32,.32,.31,.37,.27
1997,.29,.41,.51,.34,.34,.54,.33,.41,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.64,.68,.77,.66,.65,.42,.41,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.27,.36,.38,.31,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.57,.35,.40,.39,.42,.38,.26,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.52,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.53,.58,.43,.62,.63,.70,.70,.55,.58
2003,.75,.58,.59,.55,.60,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.58,.57,.62
2004,.58,.72,.63,.61,.37,.44,.26,.46,.50,.60,.72,.50,.53,.55,.68,.54,.38,.61
2005,.74,.60,.74,.67,.62,.64,.61,.60,.71,.75,.73,.68,.67,.66,.61,.68,.62,.73
2006,.55,.73,.62,.47,.49,.65,.54,.70,.64,.69,.73,.79,.63,.62,.65,.53,.63,.69
2007,1.02,.70,.72,.76,.69,.61,.60,.59,.59,.58,.58,.49,.66,.69,.83,.72,.60,.59
2008,.30,.37,.74,.53,.49,.49,.59,.46,.61,.66,.68,.54,.54,.54,.39,.59,.52,.65
2009,.64,.52,.53,.61,.65,.64,.73,.68,.72,.64,.79,.67,.65,.64,.57,.60,.68,.72
2010,.75,.83,.92,.84,.75,.67,.62,.66,.63,.70,.81,.44,.72,.74,.75,.84,.65,.71
2011,.52,.47,.65,.65,.53,.62,.70,.74,.56,.66,.58,.60,.61,.59,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.64,.72,.79,.78,.53,.64,.65,.53,.69,.62,.76
2013,.70,.62,.67,.54,.60,.68,.60,.69,.77,.69,.83,.69,.67,.66,.62,.60,.66,.76
2014,.75,.55,.78,.79,.86,.67,.58,.82,.87,.80,.66,.78,.74,.74,.66,.81,.69,.78
2015,.85,.90,.95,.76,.80,.81,.73,.80,.84,1.09,1.05,1.16,.89,.86,.84,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.84,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.88,.90
2017,1.02,1.13,1.16,.94,.90,.71,.81,.87,.76,.89,.87,.93,.92,.91,1.00,1.00,.80,.84
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.01,.82,.91,.84,.85,.86,.86,.79,.88
2019,.92,.94,1.17,1.01,.84,.90,.94,.94,.92,1.01,.99,1.09,.97,.96,.93,1.01,.93,.97
2020,1.16,1.24,1.17,1.13,1.02,.92,.90,.87,.98,.88,1.10,.81,1.01,1.04,1.16,1.10,.89,.99
2021,.81,.64,.88,.75,.78,.84,.92,.81,.92,.99,.92,.85,.84,.84,.75,.80,.86,.94
2022,.91,.89,1.04,.83,.82,***,***,***,***,***,***,***,***,***,.89,.90,***,***
